model,baseline,run_name,num_scored,source_accuracy,channel_accuracy,mechanism_accuracy,component_accuracy,impact_accuracy,block_point_match_rate,mean_failure_chain_overlap,all_cited_labels_supported_rate,invalid_evidence_reference_rate,abstention_rate,prediction_has_evidence_rate,expected_channel_observed_rate,expected_hazard_activated_rate,expected_path_failure_rate,partial_expected_path_rate,off_script_failure_rate,hazard_resisted_rate,no_hazard_activation_rate,ambiguous_alignment_rate,failure_after_expected_hazard_rate
deepseek-v4-flash,naive,20260508_033853__split-v0-2-test__baseline-naive__model-deepseek-v4-flash__tag-v0-2,62,0.984,0.935,0.371,0.548,0.661,0.435,0.000,1.000,0.000,0.000,1.000,0.952,0.952,0.919,0.065,0.016,0.000,0.000,0.000,0.962
deepseek-v4-pro,naive,20260508_044432__split-v0-2-test__baseline-naive__model-deepseek-v4-pro__tag-v0-2,56,0.982,0.946,0.393,0.446,0.643,0.446,0.000,1.000,0.000,0.000,1.000,0.911,0.911,0.875,0.071,0.054,0.000,0.000,0.000,0.939
gpt-5-mini,naive,20260508_063548__split-v0-2-test__baseline-naive__model-gpt-5-mini__tag-v0-2,45,0.978,0.933,0.422,0.511,0.889,0.356,0.000,1.000,0.000,0.000,1.000,0.911,0.911,0.844,0.111,0.044,0.000,0.000,0.000,0.941
gemma-4-31b-it,naive,20260508_070933__split-v0-2-test__baseline-naive__model-gemma-4-31b-it__tag-gemma4-local-full-rerun-nolimit,42,1.000,1.000,0.500,0.595,0.762,0.571,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.976,0.024,0.000,0.000,0.000,0.000,0.963
gemini-3-1-flash-lite-preview,naive,20260508_100202__split-v0-2-test__baseline-naive__model-gemini-3-1-flash-lite-preview__tag-v0-2,72,0.986,0.986,0.347,0.472,0.681,0.333,0.000,1.000,0.000,0.000,1.000,0.986,0.986,0.944,0.042,0.014,0.000,0.000,0.000,0.954
gemini-3-flash-preview,naive,20260509_025841__split-v0-2-test__baseline-naive__model-gemini-3-flash-preview__tag-v0-2,59,0.983,0.983,0.458,0.559,0.797,0.322,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.966,0.034,0.000,0.000,0.000,0.000,0.961
gpt-5-5,naive,20260509_044341__split-v0-2-test__baseline-naive__model-gpt-5-5__tag-v0-2,9,1.000,1.000,0.222,0.556,0.778,0.444,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.889,0.111,0.000,0.000,0.000,0.000,0.875
gpt-5-2,naive,20260509_055058__split-v0-2-test__baseline-naive__model-gpt-5-2__tag-v0-2,15,1.000,1.000,0.200,0.600,0.800,0.533,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000
claude-opus-4-6,naive,20260509_065209__split-v0-2-test__baseline-naive__model-claude-opus-4-6__tag-v0-2,16,0.875,0.812,0.438,0.375,0.688,0.312,0.000,1.000,0.000,0.000,1.000,0.812,0.812,0.812,0.062,0.125,0.000,0.000,0.000,0.933
claude-sonnet-4-6,naive,20260509_082803__split-v0-2-test__baseline-naive__model-claude-sonnet-4-6__tag-v0-2,34,0.941,0.882,0.618,0.382,0.676,0.618,0.000,1.000,0.000,0.000,1.000,0.912,0.912,0.882,0.088,0.029,0.000,0.000,0.000,0.947
