model,baseline,run_name,num_scored,source_accuracy,channel_accuracy,mechanism_accuracy,component_accuracy,impact_accuracy,block_point_match_rate,mean_failure_chain_overlap,all_cited_labels_supported_rate,invalid_evidence_reference_rate,abstention_rate,prediction_has_evidence_rate
deepseek-v4-flash,naive,20260508_033853__split-v0-2-test__baseline-naive__model-deepseek-v4-flash__tag-v0-2,62,0.984,0.935,0.323,0.516,0.516,0.306,0.000,1.000,0.000,0.000,1.000
deepseek-v4-pro,naive,20260508_044432__split-v0-2-test__baseline-naive__model-deepseek-v4-pro__tag-v0-2,56,0.982,0.946,0.357,0.429,0.554,0.375,0.000,0.964,0.000,0.000,1.000
gpt-5-mini,naive,20260508_063548__split-v0-2-test__baseline-naive__model-gpt-5-mini__tag-v0-2,45,0.978,0.911,0.333,0.444,0.667,0.178,0.000,0.956,0.000,0.000,1.000
gemma-4-31b-it,naive,20260508_070933__split-v0-2-test__baseline-naive__model-gemma-4-31b-it__tag-gemma4-local-full-rerun-nolimit,42,1.000,1.000,0.405,0.476,0.405,0.262,0.000,1.000,0.000,0.000,1.000
mirothinker-1-7,naive,20260508_081844__split-v0-2-test__baseline-naive__model-mirothinker-1-7__tag-mirothinker-1-7-local-full-rerun-fix,3,1.000,1.000,0.667,0.333,0.333,0.000,0.000,1.000,0.000,0.000,1.000
gemini-3-1-flash-lite-preview,naive,20260508_100202__split-v0-2-test__baseline-naive__model-gemini-3-1-flash-lite-preview__tag-v0-2,72,0.986,0.986,0.319,0.472,0.611,0.278,0.000,1.000,0.000,0.000,1.000
gemini-3-flash-preview,naive,20260509_025841__split-v0-2-test__baseline-naive__model-gemini-3-flash-preview__tag-v0-2,59,0.983,0.983,0.390,0.525,0.661,0.186,0.000,1.000,0.000,0.000,1.000
gpt-5-5,naive,20260509_044341__split-v0-2-test__baseline-naive__model-gpt-5-5__tag-v0-2,9,1.000,1.000,0.222,0.556,0.667,0.444,0.000,1.000,0.000,0.000,1.000
gpt-5-2,naive,20260509_055058__split-v0-2-test__baseline-naive__model-gpt-5-2__tag-v0-2,15,1.000,1.000,0.200,0.533,0.733,0.467,0.000,1.000,0.000,0.000,1.000
claude-opus-4-6,naive,20260509_065209__split-v0-2-test__baseline-naive__model-claude-opus-4-6__tag-v0-2,16,0.875,0.812,0.375,0.375,0.562,0.250,0.000,1.000,0.000,0.000,1.000
claude-sonnet-4-6,naive,20260509_082803__split-v0-2-test__baseline-naive__model-claude-sonnet-4-6__tag-v0-2,34,0.941,0.882,0.441,0.294,0.235,0.206,0.000,1.000,0.000,0.000,1.000
gemini-3-1-pro-preview,naive,20260511_005823__split-v0-2-test__baseline-naive__model-gemini-3-1-pro-preview__tag-v0-2,44,1.000,1.000,0.432,0.386,0.682,0.136,0.000,0.841,0.000,0.000,1.000
deepseek-v4-flash,guarded,20260511_055000__split-v0-2-test__baseline-guarded__model-deepseek-v4-flash__tag-v0-2,41,0.951,0.927,0.488,0.415,0.415,0.122,0.000,1.000,0.000,0.000,1.000
gemini-3-1-flash-lite-preview,guarded,20260511_072359__split-v0-2-test__baseline-guarded__model-gemini-3-1-flash-lite-preview__tag-v0-2,66,0.985,0.955,0.258,0.424,0.606,0.212,0.000,1.000,0.000,0.000,1.000
gpt-5-mini,guarded,20260511_091354__split-v0-2-test__baseline-guarded__model-gpt-5-mini__tag-v0-2,20,0.950,0.850,0.200,0.400,0.500,0.350,0.000,0.950,0.000,0.000,1.000
minimax-m2-5,naive,20260511_112617__split-v0-2-test__baseline-naive__model-minimax-m2-5__tag-minimax-m2-5-local-full-rerun,25,1.000,0.960,0.360,0.560,0.360,0.480,0.000,1.000,0.000,0.000,1.000
deepseek-v4-pro,guarded,20260512_014816__split-v0-2-test__baseline-guarded__model-deepseek-v4-pro__tag-v0-2,40,0.975,0.950,0.325,0.425,0.475,0.300,0.000,1.000,0.000,0.000,1.000
gpt-5-5,guarded,20260512_032657__split-v0-2-test__baseline-guarded__model-gpt-5-5__tag-v0-2,7,1.000,0.857,0.000,0.286,0.714,0.286,0.000,1.000,0.000,0.000,1.000
claude-sonnet-4-6,guarded,20260512_053746__split-v0-2-test__baseline-guarded__model-claude-sonnet-4-6__tag-v0-2,31,0.968,0.935,0.419,0.258,0.290,0.129,0.000,0.968,0.000,0.000,1.000
gpt-5-2,guarded,20260512_070052__split-v0-2-test__baseline-guarded__model-gpt-5-2__tag-v0-2,17,1.000,0.941,0.235,0.529,0.647,0.471,0.000,0.941,0.000,0.000,1.000
gemini-3-flash-preview,guarded,20260512_080929__split-v0-2-test__baseline-guarded__model-gemini-3-flash-preview__tag-v0-2,33,1.000,0.970,0.455,0.333,0.485,0.091,0.000,0.879,0.000,0.000,1.000
claude-opus-4-6,guarded,20260512_092913__split-v0-2-test__baseline-guarded__model-claude-opus-4-6__tag-v0-2,13,0.923,0.846,0.308,0.385,0.462,0.308,0.000,1.000,0.000,0.000,1.000
